name,price,origin_price,discount
collar portable mic for youtubers & vloggers,Rs.207,Rs.699,-70%
Made by Gift City - Creative 3d Letters DIY Wooden Wall Clock for Home and Offices Self Adhesive,Rs.278,Rs.800,-65%
Brown leather Luxury Watch For Unisex Rs. 19,Rs.299,Rs.360,-16%
"Bluetooth camera shutter, Wireless camera shutter bluetooth selfie remote",Rs.289,Rs.1000,-71%
air buds/ Bluetooth Earphones Airpods_ / wireless earbuds With Charging Case black airbuds,Rs.399,Rs.1444,-72%
Code 9 Pairs Cotton Ankle Socks For Men Women Cotton Ankle Socks For Men No Show Low Cut Socks For Men Business Casual Socks For Men- 3 Random colors,Rs.474,Rs.657,-27%
Best Microphone WS 858 for clear speaking professional karaoke speaker Wireless Bluetooth Hifi Speaker plus an original aux cable with mic,Rs.969,Rs.2000,-51%
"Al Quraish Traders Keratin Hair Mask - Professional Treatment for Hair Repair, Nourishment & Beauty - Hair Mask - Vitamin Complex for All Hair Types - Keratin hair mask treatment",Rs.599,Rs.850,-29%
Hair Removal Pain-less Physical Manual Epilator Crystal Hair Eraser Nano Glass Hair Removal Washable Portable for Man and Women Arms Legs Back,Rs.387,Rs.850,-54%
Door Dust Air Insects Stopper 42 Inches Bottom Seal Noise Protector Twin Draft Guard,Rs.158,Rs.400,-60%
"6 pcs Tinkle Eyebrow Razor,Eyebrow Facial Hair Remover & Shaper (6 Pieces), Facial Hair Removal, Eyebrow Trimmer, Shaver For Women, Zigzag Razor for women, Eyes Makeup, Safety Razor for girls, Facial Razor, ladies razor by Piper's Mall",Rs.270,Rs.699,-61%
Lifestyle Glory Brand Butterflies and Sweet Home 3D Wooden Wall Clock I Wooden Wall Clock I Wall Clocks I Wall Clock For Bedroom I Wall Clock for Room I Wooden Wall Clock I Wooden Clock I Clocks I Clock,Rs.368,Rs.1200,-69%
Lifestyle Glory Brand 3D Wooden Tree Wall Art Decor 3 Pieces Black High Quality Gift Ideas Modern Nature Home Office Décor I Wall art I Wall art I Wall art for room decoration I Wall art for room I Wall art for bedroom,Rs.335,Rs.1200,-72%
